"especie","cytb","coi","rag2"
"Nasua_nasua","KU253485","KF771221","GU931274"
"Nasua_narica","DQ533940","DQ533934","DQ660275"
"Bassaricyon_alleni","DQ660299","NA","GU931277"
"Bassaricyon_gabbii","JX948744","DQ533937","DQ660273"
"Bassaricyon_neblina","EF107709","NA","NA"
"Bassariscus_astutus","DQ471839","DQ533935","GU931273"
"Bassariscus_sumichrasti","DQ660301","NA","NA"
"Nasuella_olivacea","GQ169038","NA","NA"
"Nasuella_meridensis","GQ169041","NA","NA"
"Potos_flavus","EF107705","JF459232","GU931275"
"Procyon_lotor","AB462237","AB462218","GU931276"
"Procyon_cancrivorus","KT626625","NA","DQ660278"
"Ailurus_fulgens","AY390366","JF444277","GU931272"
